tag_id,tag_category,tag_key,tag_label,description
tag-data-type-geographic-spatial,data_type,geographic_spatial,Geographic / spatial,"Place names, boundaries, geospatial metadata, maps, or spatial layers."
tag-data-type-images-media,data_type,images_media,Images / media,"Images, photographs, video, or media records."
tag-data-type-literature-reference,data_type,literature_reference,Literature / reference,Literature references or bibliographic source records.
tag-data-type-metadata-catalog-registry,data_type,metadata_catalog_registry,Metadata catalogue / registry,"Catalogue records, repository metadata, registry metadata, knowledge graph, discovery portal, or node catalogue."
tag-data-type-model-forecast-reanalysis,data_type,model_forecast_reanalysis,Model / forecast / reanalysis,"Model output, forecasts, reanalyses, scenarios, or predicted distributions."
tag-data-type-occurrence-observation,data_type,occurrence_observation,Occurrence / observation,"Observed, collected, specimen, occurrence, abundance, or distribution records."
tag-data-type-operational-coordination,data_type,operational_coordination,Operational coordination,"Deployment coordination, operational status, or programme coordination information."
tag-data-type-physical-oceanography,data_type,physical_oceanography,Physical oceanography,"Profiles, trajectories, salinity, temperature, hydrography, or physical ocean layers."
tag-data-type-platform-instrument-status,data_type,platform_instrument_status,Platform / instrument status,"Observing platform, instrument, deployment, network status, or technical metadata."
tag-data-type-policy-treaty-information,data_type,policy_treaty_information,Policy / treaty information,"Treaty implementation, policy, legal, or clearing-house information."
tag-data-type-research-artifact-publication,data_type,research_artifact_publication,Research artifact / publication,"Datasets, supplementary data, publications, or general research artifacts."
tag-data-type-sample-biosample,data_type,sample_biosample,Sample / biosample,"Sample, specimen, tissue, biosample, or collection metadata."
tag-data-type-software-artifact,data_type,software_artifact,Software artifact,Software or computational artifact.
tag-data-type-taxonomy-nomenclature,data_type,taxonomy_nomenclature,Taxonomy / nomenclature,"Taxonomic names, nomenclature, synonymy, or taxonomic backbone content."
tag-data-type-trait-ecology,data_type,trait_ecology,Traits / ecology,"Species traits, ecological descriptions, attributes, or ecology data."
tag-read-method-api,read_method,api,API,Programmatic HTTP/API access.
tag-read-method-dashboard-viewer,read_method,dashboard_viewer,Dashboard / viewer,"Dashboard, map viewer, monitoring view, or data visualization portal."
tag-read-method-doi-landing-page,read_method,doi_landing_page,DOI landing page,DOI landing page access.
tag-read-method-download,read_method,download,Download,"Bulk, file, or product download access."
tag-read-method-email,read_method,email,Email,Email-based data access or request; not present as a primary current read path.
tag-read-method-erddap,read_method,erddap,ERDDAP,ERDDAP data service.
tag-read-method-federated-portal,read_method,federated_portal,Federated portal/service,"Distributed, regional, themed, standards-based, or machine-interface services."
tag-read-method-ftp,read_method,ftp,FTP,FTP access.
tag-read-method-harvest,read_method,harvest,Harvest,Machine harvesting or federation-based ingestion/discovery.
tag-read-method-http,read_method,http,HTTP,HTTP file access.
tag-read-method-ipt,read_method,ipt,IPT,Integrated Publishing Toolkit access.
tag-read-method-mcp,read_method,mcp,MCP,"Model Context Protocol access; future/planned, not present in current researched systems."
tag-read-method-metadata-catalog,read_method,metadata_catalog,Metadata catalogue,Catalogue or registry metadata browsing/search.
tag-read-method-ogc-wfs,read_method,ogc_wfs,WFS,OGC Web Feature Service.
tag-read-method-ogc-wms,read_method,ogc_wms,WMS,OGC Web Map Service.
tag-read-method-ogc-wmts,read_method,ogc_wmts,WMTS,OGC Web Map Tile Service.
tag-read-method-rest-api,read_method,rest_api,REST API,REST API access.
tag-read-method-rsync,read_method,rsync,rsync,rsync access.
tag-read-method-sdk-notebook,read_method,sdk_notebook,SDK / notebook,"R/Python library, notebook, or SDK-based access."
tag-read-method-search-ui,read_method,search_ui,Search / query UI,"Interactive search, query panel, or tool interface."
tag-read-method-sparql,read_method,sparql,SPARQL,SPARQL query endpoint.
tag-read-method-thredds,read_method,thredds,THREDDS,THREDDS data service.
tag-read-method-toolbox,read_method,toolbox,Toolbox,Provider-specific toolbox or analysis client.
tag-read-method-web,read_method,web,Web UI,Human-facing website or web portal.
tag-write-method-api-write,write_method,api_write,API write,Programmatic submission/deposit/update API.
tag-write-method-doi-archive-publish,write_method,doi_archive_publish,DOI archive publish,Deposit/publish workflow that mints or exposes DOI-backed packages.
tag-write-method-email,write_method,email,Email submission,Email-based submission/contact workflow.
tag-write-method-federated-sync,write_method,federated_sync,Federated sync,Member-to-member or network federation data exchange.
tag-write-method-harvested-node,write_method,harvested_node,Harvested node,System receives data through harvested/federated node or catalogue workflows.
tag-write-method-indirect-partner-submission,write_method,indirect_partner_submission,Indirect partner submission,"Submission occurs through operators, member nodes, partners, or upstream systems."
tag-write-method-ipt-publish,write_method,ipt_publish,IPT publish,Publication through GBIF/OBIS Integrated Publishing Toolkit.
tag-write-method-manager-mediated-submission,write_method,manager_mediated_submission,Manager-mediated submission,Node manager or curator mediates data publication.
tag-write-method-mcp,write_method,mcp,MCP write,"Model Context Protocol write path; future/planned, not present in current researched systems."
tag-write-method-no-direct-write,write_method,no_direct_write,No direct write,No direct public contribution/submission path identified for this system.
tag-write-method-planned-federation,write_method,planned_federation,Planned federation,Planned or likely future federation path.
tag-write-method-preservation-copy,write_method,preservation_copy,Preservation copy,Long-term archive copy/curation handoff.
tag-write-method-submission-workflow,write_method,submission_workflow,Submission workflow,Named or guided submission workflow.
tag-write-method-template-csv-workflow,write_method,template_csv_workflow,Template / CSV workflow,"Template, spreadsheet, CSV, or metadata workflow used for submissions."
tag-write-method-upload,write_method,upload,Upload,File upload workflow.
tag-write-method-web-submission,write_method,web_submission,Web submission,"Human-facing deposit, submit, or publish workflow."
