system_id,system_name,aliases,canonical_url,operator_name,operator_country,discipline_family,role_class,scope_tier,geographic_scope,marine_relevance,researcher_interaction,data_types,submission_supported,access_supported,api_or_download_modes,formats_or_standards,persistent_identifier_support,parent_system_id,official_source_id,workflow_source_id,notes
system-ena,European Nucleotide Archive,ENA,https://www.ebi.ac.uk/training/online/course/nucleotide-sequence-data-resources-ebi/what-ena,EMBL-EBI,EU,genetics,archive,global,global,mixed_domain,both,nucleotide sequences; reads; assemblies; metadata,yes,yes,web; API; FTP,INSDC standards; ENA schemas,accession numbers,system-insdc,src-ena-what,src-ena-what,Major open sequence archive and INSDC member
system-ddbj,DNA Data Bank of Japan,DDBJ,https://www.ddbj.nig.ac.jp/about/index-e.html,Bioinformation and DDBJ Center NIG,Japan,genetics,archive,global,global,mixed_domain,both,nucleotide sequences; reads; assemblies; metadata,yes,yes,web; API; downloads,INSDC standards; flat files,accession numbers,system-insdc,src-ddbj-about,src-insdc-about,Japanese INSDC member archive
system-bold,Barcode of Life Data System,BOLD,https://boldsystems.org/about/mission/,BOLD Systems,Canada,genetics,reference_backbone,global,global,mixed_domain,both,DNA barcodes; specimen links; taxonomic and distribution data,yes,yes,web; portal API,Barcode Core Data Model; barcode standards,BIN; specimen and record identifiers,,src-bold-mission,src-bold-api,Global DNA barcode platform with strong biodiversity use
system-mgnify,MGnify,,https://docs.mgnify.org/src/docs/about.html,EMBL-EBI,EU,genetics,derived_analysis_platform,global,global,mixed_domain,both,metagenomic; metatranscriptomic; amplicon; assembly analyses,indirect,yes,web; REST API; submission workflow,ENA data schemes; GSC metadata,accessions via ENA,,src-mgnify-about,src-mgnify-about,Analysis hub layered on ENA archived sequence data
system-pangaea,PANGAEA,,https://pangaea.de/about/,AWI and MARUM,Germany,oceanography,archive,global,global earth and ocean science,mixed_domain,both,georeferenced environmental and earth system data,yes,yes,web; search; API services,DOI-centered data publishing,DOI,,src-pangaea-about,src-pangaea-about,Major archive for marine and environmental datasets
system-bco-dmo,BCO-DMO,,https://www.bco-dmo.org/about,WHOI and partner institutions,USA,oceanography,primary_repository,national,marine; coastal; Great Lakes,core_marine,both,biological; chemical; biogeochemical oceanography data,yes,yes,web; API; ERDDAP,repository-specific metadata; RDF; ERDDAP,DOI,,src-bcodmo-about,src-bcodmo-about,Primary repository for NSF-supported oceanographic communities
system-noaa-ncei-marine,NOAA NCEI Marine Data,,https://www.ncei.noaa.gov/products/marine,NOAA NCEI,USA,oceanography,archive,national,global and US marine holdings,core_marine,both,oceanographic; fisheries; bathymetry; marine geology; imagery,yes,yes,web; downloads; APIs vary,multiple NOAA and community formats,DOI and archive identifiers,,src-ncei-marine,src-ncei-marine,Large marine archive and delivery hub
system-seadatanet,SeaDataNet,,https://www.seadatanet.org/,SeaDataNet consortium,EU,oceanography,registry_federation,regional,European seas,core_marine,both,ocean and marine environmental data; metadata,yes,yes,web; machine interfaces; distributed services,SeaDataNet vocabularies and formats,Marine-ID and dataset identifiers,,src-seadatanet-home,src-seadatanet-home,Pan-European distributed marine data infrastructure
system-seadatanet-cdi,SeaDataNet Common Data Index,CDI,https://cdi.seadatanet.org/,SeaDataNet consortium,EU,oceanography,delivery_portal,regional,European seas,core_marine,both,metadata and dataset access across marine data centres,yes,yes,web; API; SPARQL; WMS; WFS,SeaDataNet standard formats; controlled vocabularies,Marine-ID; CDI metadata records,system-seadatanet,src-seadatanet-cdi,src-seadatanet-cdi,Key discovery and access service within SeaDataNet
system-ices-data,ICES Marine Data,,https://www.ices.dk/data/Pages/default.aspx?ID=1,ICES,international,fisheries,archive,regional,North Atlantic and adjacent seas,core_marine,both,oceanography; fisheries; biodiversity; contaminants; surveys,yes,yes,web; APIs; themed portals,ICES data formats; theme-specific packages,varies,,src-ices-data,src-ices-data,Major regional marine data centre spanning fisheries and oceanography
system-copernicus-marine,Copernicus Marine Service,CMEMS,https://marine.copernicus.eu/about,Mercator Ocean International and EU,EU,oceanography,delivery_portal,regional,global ocean and European seas,core_marine,pull_from,model outputs; observations; forecasts; reanalyses,no,yes,web; toolbox; APIs,NetCDF; Zarr; WMTS,varies,,src-cmems-about,src-cmems-about,EU marine service for delivery of model and observation products
system-cmems-datastore,Copernicus Marine Data Store,CMDS,https://data.marine.copernicus.eu/,Copernicus Marine Service,EU,oceanography,delivery_portal,regional,global ocean and European seas,core_marine,pull_from,product catalogue; downloads; visualisation,indirect,yes,web; downloads; toolbox,NetCDF; Zarr; shapefiles,varies,system-copernicus-marine,src-cmems-datastore,src-cmems-argo,Primary download and catalogue entry point for Copernicus Marine
system-argo-gdac,Argo Global Data Assembly Centers,Argo GDAC,https://argo.ucsd.edu/data/,Argo Data Management Team,international,oceanography,archive,global,global ocean,core_marine,pull_from,profile; trajectory; meta; technical float data,no,yes,ftp; http; rsync; ERDDAP; THREDDS; JSON,NetCDF; BUFR; DOI snapshots,DOI and profile identifiers,,src-argo-data,src-argo-system,Canonical access point for official Argo profile data
system-ioos,U.S. Integrated Ocean Observing System,IOOS,https://ioos.noaa.gov/about/about-us/,NOAA IOOS,USA,oceanography,registry_federation,national,US coasts; ocean; Great Lakes,core_marine,pull_from,observations; models; regional portals,indirect,yes,regional portals; standards-based services,varied national standards,varies,,src-ioos-about,src-ioos-about,National observing network with many regional data portals
system-ooi-data,Ocean Observatories Initiative Data Portal,OOI Data Portal,https://oceanobservatories.org/data-portal/,Ocean Observatories Initiative,USA,oceanography,delivery_portal,national,global arrays and US-led observatories,core_marine,pull_from,real-time and historical instrument data,no,yes,web; downloads,OOI data products and instrument outputs,varies,,src-ooi-data,src-ooi-data,Access point for OOI array data products
system-fao-fishstat,FAO FishStat and Fishery Statistics,,https://www.fao.org/statistics/data-dissemination/fishery-and-aquaculture/en,FAO,international,fisheries,delivery_portal,global,global fisheries and aquaculture,adjacent_support,pull_from,production statistics; aquaculture statistics; yearbooks,no,yes,web; query panels; downloads,FAO statistical collections,varies,,src-fao-fishstat,src-fao-fishstat,Global fisheries statistics dissemination layer
system-sea-around-us,Sea Around Us,,https://www.seaaroundus.org/about-2/,Sea Around Us,Canada,fisheries,derived_analysis_platform,global,global EEZs and high seas,core_marine,pull_from,catch reconstructions; fisheries indicators; mapped products,no,yes,web; tools; downloads,project-specific analytical products,varies,,src-seaaroundus-about,src-seaaroundus-about,Global fisheries reconstruction and analysis platform
system-odis,Ocean Data and Information System,ODIS,https://oceaninfohub.org/odis/,IOC UNESCO IODE,international,cross-domain,registry_federation,global,global ocean systems,core_marine,indirect,metadata federation; knowledge graph; node catalogue,no,yes,web; architecture; dashboard; harvesting,ODIS architecture conventions,varies,,src-odis,src-odis,Interoperability layer and federation of distributed ocean systems
system-oceaninfohub,Ocean InfoHub,Ocean InfoHub Project,https://oceaninfohub.org/project-overview/,IOC UNESCO IODE,international,cross-domain,delivery_portal,global,global with regional pilots,core_marine,pull_from,discovery portal; linked ocean information,no,yes,web; knowledge graph views,ODIS architecture,varies,,src-oceaninfohub-about,src-oceaninfohub-about,Discovery layer built through ODIS development
system-re3data,re3data,,https://www.re3data.org/about,re3data consortium,Germany,cross-domain,registry_federation,global,global,mixed_domain,indirect,repository registry metadata,no,yes,web; search; metadata catalogue,re3data metadata schema,re3data DOI,,src-re3data-about,src-re3data-about,Cross-domain repository registry useful for finding marine-adjacent repositories
